user_id,blacklist_ip,reason
2463,192.168.50.94,Large transaction
5170,192.168.36.99,Large transaction
957,192.168.131.70,Suspicious IP
2467,192.168.71.45,High-frequency access
9189,192.168.186.195,Suspicious IP
8662,192.168.157.97,Large transaction
3275,192.168.109.241,High-frequency access
2151,192.168.66.191,High-frequency access
4851,192.168.60.77,High-frequency access
6862,192.168.162.213,Failed logins
9011,192.168.250.255,Suspicious IP
1212,192.168.187.230,High-frequency access
1952,192.168.10.134,Failed logins
7010,192.168.206.50,High-frequency access
1505,192.168.76.51,Failed logins
6964,192.168.199.174,High-frequency access
6927,192.168.177.170,Suspicious IP
8631,192.168.197.65,High-frequency access
7001,192.168.159.174,Suspicious IP
7953,192.168.18.152,High-frequency access
4396,192.168.233.58,Suspicious IP
4065,192.168.212.249,High-frequency access
8585,192.168.214.176,High-frequency access
527,192.168.48.168,Failed logins
6498,192.168.154.213,High-frequency access
3683,192.168.41.156,Large transaction
4681,192.168.104.136,Large transaction
129,192.168.218.184,Large transaction
7460,192.168.2.33,High-frequency access
1723,192.168.5.76,High-frequency access
6139,192.168.119.129,Large transaction
9959,192.168.207.100,Suspicious IP
7207,192.168.44.164,High-frequency access
3128,192.168.13.248,High-frequency access
6713,192.168.252.192,Failed logins
8364,192.168.147.186,High-frequency access
2907,192.168.198.226,Large transaction
5225,192.168.55.204,High-frequency access
8829,192.168.254.145,Suspicious IP
6036,192.168.168.175,Suspicious IP
326,192.168.212.151,Suspicious IP
6539,192.168.164.21,Failed logins
7599,192.168.72.163,Failed logins
2387,192.168.217.134,High-frequency access
1417,192.168.246.93,High-frequency access
7717,192.168.57.80,Large transaction
8688,192.168.203.118,Large transaction
9276,192.168.154.147,Suspicious IP
6763,192.168.186.49,Large transaction
4223,192.168.114.76,Large transaction
8574,192.168.116.41,Large transaction
4834,192.168.140.186,Large transaction
108,192.168.120.31,High-frequency access
4567,192.168.71.59,Failed logins
6961,192.168.16.19,Failed logins
8694,192.168.118.137,Suspicious IP
1927,192.168.250.76,Failed logins
6505,192.168.21.110,Failed logins
1267,192.168.210.51,Failed logins
3736,192.168.245.232,Suspicious IP
9113,192.168.147.87,Failed logins
9273,192.168.7.242,High-frequency access
2868,192.168.209.179,High-frequency access
8271,192.168.211.18,Failed logins
9423,192.168.7.77,Failed logins
4566,192.168.75.181,Suspicious IP
3539,192.168.20.148,Large transaction
1190,192.168.202.68,Suspicious IP
1459,192.168.2.72,Suspicious IP
1099,192.168.38.136,High-frequency access
2224,192.168.31.75,High-frequency access
8151,192.168.69.160,High-frequency access
3696,192.168.113.183,Suspicious IP
4881,192.168.212.71,High-frequency access
5231,192.168.54.30,Large transaction
4197,192.168.94.139,Suspicious IP
7286,192.168.61.189,Large transaction
3201,192.168.47.37,Failed logins
2643,192.168.199.202,Failed logins
7171,192.168.94.227,Suspicious IP
9206,192.168.110.245,Failed logins
1845,192.168.230.23,Suspicious IP
7414,192.168.250.21,Suspicious IP
1963,192.168.242.92,High-frequency access
1215,192.168.192.200,High-frequency access
4522,192.168.47.181,Failed logins
9366,192.168.72.82,Large transaction
8798,192.168.199.242,Large transaction
930,192.168.249.157,Suspicious IP
3130,192.168.39.56,Large transaction
3819,192.168.39.163,Large transaction
1156,192.168.204.193,High-frequency access
5790,192.168.206.197,Large transaction
6614,192.168.212.100,Large transaction
7185,192.168.96.85,Large transaction
6614,192.168.221.22,Failed logins
259,192.168.205.187,Large transaction
6732,192.168.26.233,Failed logins
4852,192.168.167.17,High-frequency access
4218,192.168.21.120,Large transaction
6414,192.168.10.197,High-frequency access
3972,192.168.214.250,Failed logins
9669,192.168.68.73,High-frequency access
4476,192.168.84.123,Large transaction
6976,192.168.175.39,Suspicious IP
7670,192.168.76.57,Large transaction
8077,192.168.40.235,High-frequency access
5114,192.168.30.119,High-frequency access
4756,192.168.39.86,High-frequency access
8984,192.168.166.230,Large transaction
7464,192.168.219.116,Large transaction
4680,192.168.22.161,Failed logins
8761,192.168.91.236,Suspicious IP
2587,192.168.99.201,Failed logins
580,192.168.122.235,Suspicious IP
9358,192.168.62.18,High-frequency access
379,192.168.133.44,Large transaction
4980,192.168.170.42,High-frequency access
568,192.168.180.45,Failed logins
3409,192.168.104.246,High-frequency access
5698,192.168.246.114,Large transaction
7848,192.168.182.156,Failed logins
4163,192.168.78.127,Suspicious IP
3509,192.168.113.193,High-frequency access
3851,192.168.232.83,Suspicious IP
3772,192.168.121.165,Suspicious IP
7509,192.168.181.241,High-frequency access
7435,192.168.167.7,Large transaction
2813,192.168.232.236,Failed logins
2814,192.168.28.8,High-frequency access
3505,192.168.106.135,High-frequency access
3981,192.168.79.164,Large transaction
5975,192.168.79.150,High-frequency access
322,192.168.254.48,Suspicious IP
1447,192.168.242.208,Suspicious IP
9153,192.168.82.195,Large transaction
2937,192.168.2.195,Suspicious IP
2667,192.168.242.219,Suspicious IP
6126,192.168.15.111,Large transaction
7048,192.168.200.9,High-frequency access
433,192.168.138.5,Suspicious IP
1355,192.168.31.255,High-frequency access
6730,192.168.37.82,Failed logins
2042,192.168.182.119,Failed logins
7473,192.168.196.23,Large transaction
3033,192.168.115.120,High-frequency access
2426,192.168.51.235,High-frequency access
2345,192.168.16.44,Suspicious IP
9469,192.168.14.96,High-frequency access
1695,192.168.226.175,High-frequency access
5587,192.168.123.56,Large transaction
920,192.168.204.193,Failed logins
5751,192.168.23.101,Large transaction
719,192.168.242.90,Suspicious IP
1720,192.168.0.15,Large transaction
426,192.168.54.189,High-frequency access
7997,192.168.101.92,Large transaction
4291,192.168.181.67,Large transaction
7918,192.168.229.50,Failed logins
1272,192.168.184.162,Suspicious IP
5723,192.168.86.52,Large transaction
3613,192.168.241.17,High-frequency access
7767,192.168.100.41,Large transaction
3072,192.168.73.51,Failed logins
5588,192.168.185.16,High-frequency access
2488,192.168.195.215,High-frequency access
4969,192.168.53.117,High-frequency access
6161,192.168.175.10,Suspicious IP
9198,192.168.21.246,Large transaction
5444,192.168.7.59,Large transaction
6759,192.168.208.196,Suspicious IP
6086,192.168.14.141,Large transaction
375,192.168.229.219,High-frequency access
3151,192.168.136.182,High-frequency access
4373,192.168.237.90,Failed logins
8074,192.168.71.137,Large transaction
6593,192.168.66.53,Large transaction
1123,192.168.240.202,High-frequency access
5343,192.168.57.177,High-frequency access
8307,192.168.223.159,High-frequency access
3696,192.168.254.11,High-frequency access
5766,192.168.235.195,High-frequency access
909,192.168.78.81,Suspicious IP
9466,192.168.70.59,Suspicious IP
9410,192.168.41.129,Suspicious IP
7349,192.168.221.99,Suspicious IP
646,192.168.26.217,Failed logins
4129,192.168.190.118,Failed logins
2478,192.168.107.12,Large transaction
9903,192.168.250.16,High-frequency access
5971,192.168.16.241,Failed logins
368,192.168.228.252,High-frequency access
3877,192.168.158.87,High-frequency access
9560,192.168.81.214,Suspicious IP
6748,192.168.249.139,Suspicious IP
7235,192.168.83.165,Suspicious IP
8819,192.168.149.59,Large transaction
1247,192.168.11.147,Large transaction
1615,192.168.193.162,High-frequency access
8887,192.168.161.17,Failed logins
150,192.168.67.66,Large transaction
8766,192.168.207.101,High-frequency access
1127,192.168.106.37,Failed logins
8582,192.168.24.127,Failed logins
9996,192.168.8.190,Failed logins
2133,192.168.111.127,Failed logins
3381,192.168.217.139,Suspicious IP
1659,192.168.150.184,Suspicious IP
6562,192.168.123.196,Large transaction
6402,192.168.128.15,Failed logins
9943,192.168.72.145,Failed logins
5199,192.168.108.205,Large transaction
9339,192.168.167.184,High-frequency access
9514,192.168.204.134,Suspicious IP
6760,192.168.242.105,Suspicious IP
1299,192.168.80.183,High-frequency access
8267,192.168.14.71,Failed logins
3979,192.168.139.53,High-frequency access
9836,192.168.126.88,Failed logins
2271,192.168.189.99,Suspicious IP
5509,192.168.129.7,Suspicious IP
2213,192.168.163.163,High-frequency access
3754,192.168.192.7,Suspicious IP
3914,192.168.196.214,Suspicious IP
7449,192.168.204.34,Failed logins
8901,192.168.84.215,High-frequency access
1900,192.168.93.149,Large transaction
4451,192.168.231.145,High-frequency access
2131,192.168.78.237,High-frequency access
779,192.168.69.169,Large transaction
2114,192.168.214.250,Failed logins
6505,192.168.18.149,High-frequency access
7179,192.168.83.210,Suspicious IP
6251,192.168.210.140,High-frequency access
2121,192.168.0.177,Suspicious IP
8865,192.168.179.77,Suspicious IP
9016,192.168.138.115,Suspicious IP
2277,192.168.76.117,Failed logins
8150,192.168.24.136,Failed logins
8449,192.168.7.244,Suspicious IP
7458,192.168.216.58,High-frequency access
7027,192.168.164.40,Large transaction
2382,192.168.133.162,Suspicious IP
2937,192.168.253.69,Large transaction
2868,192.168.144.241,High-frequency access
1571,192.168.77.61,High-frequency access
2512,192.168.247.128,High-frequency access
4141,192.168.141.189,Suspicious IP
7108,192.168.121.136,High-frequency access
1188,192.168.210.39,Failed logins
4569,192.168.10.184,Suspicious IP
1291,192.168.144.172,Large transaction
272,192.168.130.201,Failed logins
4058,192.168.7.234,Failed logins
1214,192.168.69.143,Suspicious IP
2866,192.168.34.17,Large transaction
4146,192.168.236.103,Failed logins
6070,192.168.245.253,Failed logins
866,192.168.221.193,Failed logins
4580,192.168.132.242,Failed logins
2294,192.168.63.68,Failed logins
2844,192.168.69.8,Failed logins
1013,192.168.222.205,High-frequency access
4408,192.168.148.147,Failed logins
8102,192.168.22.6,Suspicious IP
672,192.168.154.181,High-frequency access
5044,192.168.218.21,Failed logins
4630,192.168.56.132,Large transaction
8395,192.168.29.243,Failed logins
67,192.168.126.201,High-frequency access
3592,192.168.62.185,High-frequency access
5283,192.168.90.123,Suspicious IP
7149,192.168.251.244,Large transaction
8439,192.168.34.161,Suspicious IP
4752,192.168.13.52,Suspicious IP
5,192.168.67.69,Suspicious IP
5204,192.168.131.220,Large transaction
6978,192.168.207.208,High-frequency access
8803,192.168.38.113,Large transaction
5522,192.168.127.95,Suspicious IP
1886,192.168.154.72,Large transaction
7013,192.168.212.150,Suspicious IP
2329,192.168.158.211,Large transaction
626,192.168.38.99,Large transaction
6203,192.168.2.120,Large transaction
2704,192.168.255.101,High-frequency access
6389,192.168.231.52,Failed logins
3708,192.168.88.168,Large transaction
8149,192.168.128.244,High-frequency access
5136,192.168.215.39,Large transaction
6593,192.168.89.1,Suspicious IP
5868,192.168.155.250,High-frequency access
951,192.168.153.197,Suspicious IP
8202,192.168.212.255,Suspicious IP
4283,192.168.98.64,High-frequency access
6390,192.168.18.50,High-frequency access
5714,192.168.182.111,High-frequency access
1653,192.168.234.208,Failed logins
8302,192.168.180.168,Failed logins
9170,192.168.164.28,High-frequency access
6534,192.168.141.27,High-frequency access
241,192.168.189.149,High-frequency access
6585,192.168.58.209,High-frequency access
9359,192.168.8.216,Suspicious IP
9558,192.168.90.59,High-frequency access
533,192.168.192.78,Large transaction
2446,192.168.197.78,Large transaction
4736,192.168.114.97,Suspicious IP
7679,192.168.110.248,Large transaction
8358,192.168.46.28,Suspicious IP
6577,192.168.91.233,High-frequency access
2954,192.168.193.145,Large transaction
6407,192.168.86.105,High-frequency access
4018,192.168.76.226,Suspicious IP
1797,192.168.17.228,Suspicious IP
9361,192.168.252.171,Suspicious IP
2495,192.168.142.150,Failed logins
5970,192.168.153.74,High-frequency access
7761,192.168.238.88,High-frequency access
2645,192.168.184.103,Failed logins
5381,192.168.74.44,Large transaction
8958,192.168.5.161,High-frequency access
184,192.168.48.26,Suspicious IP
8904,192.168.14.145,High-frequency access
1190,192.168.212.49,Suspicious IP
4046,192.168.35.39,Large transaction
9298,192.168.250.232,Failed logins
2868,192.168.113.203,High-frequency access
8341,192.168.54.109,Suspicious IP
1225,192.168.89.51,Suspicious IP
6049,192.168.218.221,Large transaction
4887,192.168.213.223,Large transaction
7345,192.168.207.127,Large transaction
694,192.168.116.78,Large transaction
1088,192.168.193.236,High-frequency access
5857,192.168.140.182,Large transaction
5731,192.168.174.212,Suspicious IP
1049,192.168.230.72,Suspicious IP
5180,192.168.161.27,High-frequency access
8857,192.168.109.101,Failed logins
8126,192.168.19.239,High-frequency access
6700,192.168.192.181,Large transaction
4515,192.168.153.119,Failed logins
1399,192.168.202.236,Failed logins
1739,192.168.144.137,Suspicious IP
2616,192.168.47.17,Failed logins
4759,192.168.158.71,Large transaction
9713,192.168.244.235,Large transaction
8112,192.168.118.223,Large transaction
6599,192.168.163.90,High-frequency access
5948,192.168.159.2,Failed logins
7186,192.168.52.142,High-frequency access
7837,192.168.114.115,Suspicious IP
8685,192.168.21.148,High-frequency access
6010,192.168.126.130,High-frequency access
6150,192.168.30.85,Suspicious IP
9108,192.168.77.92,Suspicious IP
5088,192.168.47.42,High-frequency access
1501,192.168.62.219,Large transaction
1708,192.168.25.101,Large transaction
7000,192.168.130.59,Large transaction
1644,192.168.193.238,High-frequency access
2919,192.168.16.46,High-frequency access
7442,192.168.164.4,High-frequency access
9173,192.168.74.58,High-frequency access
6011,192.168.3.150,Failed logins
8649,192.168.12.250,Failed logins
8745,192.168.78.69,Failed logins
2744,192.168.156.129,Suspicious IP
3553,192.168.126.50,Suspicious IP
6298,192.168.52.88,Large transaction
8107,192.168.225.61,Suspicious IP
6430,192.168.49.115,Suspicious IP
4528,192.168.204.43,Suspicious IP
6153,192.168.65.192,High-frequency access
6332,192.168.61.184,High-frequency access
4558,192.168.80.56,Failed logins
6571,192.168.125.150,Suspicious IP
9780,192.168.116.117,Suspicious IP
4612,192.168.56.38,Suspicious IP
1208,192.168.10.228,Failed logins
1626,192.168.42.129,Suspicious IP
2290,192.168.184.85,Large transaction
7187,192.168.196.117,Failed logins
5642,192.168.153.138,Failed logins
1261,192.168.21.58,Suspicious IP
1769,192.168.139.182,Failed logins
7659,192.168.26.13,Large transaction
7235,192.168.6.223,High-frequency access
1019,192.168.14.161,Failed logins
7965,192.168.251.138,High-frequency access
3438,192.168.23.120,Failed logins
8415,192.168.179.146,High-frequency access
6394,192.168.154.130,High-frequency access
8030,192.168.9.253,Failed logins
3095,192.168.15.246,Failed logins
3723,192.168.59.213,Large transaction
736,192.168.193.154,High-frequency access
5362,192.168.193.154,Suspicious IP
9301,192.168.253.138,Suspicious IP
3903,192.168.253.221,Large transaction
417,192.168.151.76,High-frequency access
6880,192.168.125.199,High-frequency access
9160,192.168.45.49,Failed logins
5681,192.168.91.235,Failed logins
6495,192.168.69.178,High-frequency access
8819,192.168.125.63,Suspicious IP
5911,192.168.198.180,Large transaction
842,192.168.87.201,Large transaction
3647,192.168.184.154,Suspicious IP
1388,192.168.126.247,Failed logins
2895,192.168.65.18,Large transaction
425,192.168.120.72,High-frequency access
3998,192.168.242.111,Suspicious IP
5760,192.168.164.142,Large transaction
2063,192.168.75.129,Large transaction
9847,192.168.249.22,Suspicious IP
202,192.168.109.158,Suspicious IP
3788,192.168.186.51,High-frequency access
4389,192.168.20.81,Failed logins
5826,192.168.68.149,Suspicious IP
2734,192.168.32.156,High-frequency access
9939,192.168.142.33,Failed logins
7574,192.168.1.35,High-frequency access
6879,192.168.0.238,Failed logins
9796,192.168.45.51,Suspicious IP
7521,192.168.250.59,Large transaction
7552,192.168.100.22,Failed logins
2698,192.168.156.155,Suspicious IP
3187,192.168.114.114,Large transaction
6190,192.168.125.52,Suspicious IP
6777,192.168.74.139,Large transaction
51,192.168.74.55,Failed logins
6041,192.168.150.140,Failed logins
6563,192.168.60.234,High-frequency access
3962,192.168.99.145,Large transaction
4847,192.168.152.232,Failed logins
6395,192.168.188.224,Suspicious IP
7157,192.168.93.43,Large transaction
9298,192.168.193.101,Large transaction
5450,192.168.75.55,Large transaction
8455,192.168.235.206,High-frequency access
4664,192.168.168.16,High-frequency access
3882,192.168.224.255,High-frequency access
868,192.168.10.63,High-frequency access
1235,192.168.122.99,Failed logins
3751,192.168.186.47,High-frequency access
1792,192.168.219.184,High-frequency access
8414,192.168.178.253,Suspicious IP
921,192.168.90.152,Large transaction
3306,192.168.8.25,Large transaction
4434,192.168.186.56,High-frequency access
8045,192.168.174.216,Suspicious IP
6165,192.168.22.114,Failed logins
6340,192.168.21.107,High-frequency access
988,192.168.63.24,High-frequency access
6805,192.168.254.250,Failed logins
3255,192.168.237.181,Suspicious IP
6321,192.168.224.6,Suspicious IP
9544,192.168.67.71,High-frequency access
4883,192.168.120.80,Large transaction
5464,192.168.39.3,Suspicious IP
2139,192.168.138.75,Suspicious IP
1304,192.168.89.43,Failed logins
7933,192.168.78.88,High-frequency access
9614,192.168.139.7,Failed logins
1772,192.168.18.42,Large transaction
666,192.168.222.128,High-frequency access
8889,192.168.71.234,High-frequency access
259,192.168.177.176,Failed logins
9286,192.168.79.136,High-frequency access
4816,192.168.148.141,High-frequency access
3425,192.168.191.148,High-frequency access
8775,192.168.41.77,Failed logins
7152,192.168.207.97,Large transaction
3413,192.168.68.208,Large transaction
3045,192.168.210.17,Failed logins
5726,192.168.156.179,Suspicious IP
7051,192.168.196.144,Suspicious IP
6134,192.168.160.6,High-frequency access
4352,192.168.33.169,Large transaction
4798,192.168.106.49,Suspicious IP
2797,192.168.163.116,Failed logins
1503,192.168.250.79,Suspicious IP
3161,192.168.172.133,Failed logins
9516,192.168.167.207,Suspicious IP
6169,192.168.227.255,High-frequency access
3530,192.168.28.238,High-frequency access
498,192.168.55.125,High-frequency access
3396,192.168.2.229,Suspicious IP
3525,192.168.200.48,Large transaction
9214,192.168.14.69,Failed logins
5302,192.168.248.222,Large transaction
7793,192.168.32.92,Suspicious IP
8718,192.168.192.133,High-frequency access
2670,192.168.91.77,High-frequency access
388,192.168.187.22,High-frequency access
9980,192.168.119.127,Failed logins
9243,192.168.214.32,Suspicious IP
2845,192.168.16.90,High-frequency access
4987,192.168.188.36,Failed logins
5808,192.168.68.73,Suspicious IP
6630,192.168.244.229,Failed logins
7941,192.168.158.158,Large transaction
8845,192.168.7.124,Suspicious IP
4789,192.168.166.189,Failed logins
3288,192.168.9.148,Large transaction
347,192.168.148.207,Suspicious IP
7722,192.168.65.138,Suspicious IP
3375,192.168.163.213,High-frequency access
3412,192.168.56.113,Failed logins
4375,192.168.203.39,Large transaction
1294,192.168.235.220,Large transaction
33,192.168.213.206,Suspicious IP
5861,192.168.161.5,High-frequency access
3484,192.168.146.128,High-frequency access
5858,192.168.223.51,High-frequency access
4928,192.168.167.56,Suspicious IP
5255,192.168.166.43,Failed logins
4055,192.168.194.136,Large transaction
8003,192.168.248.115,Large transaction
7759,192.168.62.140,High-frequency access
3908,192.168.93.66,Large transaction
7505,192.168.146.245,Suspicious IP
4146,192.168.192.47,Failed logins
9788,192.168.230.202,High-frequency access
1435,192.168.54.65,High-frequency access
3054,192.168.208.209,Large transaction
9482,192.168.250.133,High-frequency access
1404,192.168.218.143,Failed logins
5367,192.168.109.13,High-frequency access
2259,192.168.125.64,Suspicious IP
8276,192.168.164.193,Large transaction
5208,192.168.151.143,Suspicious IP
9623,192.168.235.56,Large transaction
3242,192.168.10.16,Large transaction
4296,192.168.116.236,Failed logins
8280,192.168.7.153,High-frequency access
7015,192.168.122.59,Suspicious IP
2660,192.168.148.235,High-frequency access
6279,192.168.149.133,Large transaction
9609,192.168.229.144,Large transaction
2811,192.168.141.66,Large transaction
4228,192.168.251.86,Large transaction
531,192.168.200.131,Suspicious IP
7483,192.168.205.243,Suspicious IP
4665,192.168.133.215,Suspicious IP
1662,192.168.170.227,Large transaction
9178,192.168.159.230,Large transaction
1467,192.168.11.156,Large transaction
4814,192.168.33.104,Large transaction
4955,192.168.102.202,Failed logins
5984,192.168.71.16,Large transaction
4816,192.168.223.3,Suspicious IP
5988,192.168.27.129,Large transaction
1304,192.168.55.173,Large transaction
8896,192.168.244.71,Failed logins
1781,192.168.86.180,Suspicious IP
9065,192.168.230.45,Suspicious IP
1796,192.168.17.106,Suspicious IP
8217,192.168.221.42,Failed logins
3356,192.168.165.96,Failed logins
3854,192.168.0.195,Suspicious IP
9434,192.168.153.131,Failed logins
8656,192.168.136.195,Large transaction
1281,192.168.59.114,Failed logins
9835,192.168.164.212,Failed logins
2414,192.168.31.32,High-frequency access
4702,192.168.119.127,Failed logins
9982,192.168.247.214,Failed logins
8107,192.168.70.63,Failed logins
5965,192.168.111.135,High-frequency access
9301,192.168.81.131,Suspicious IP
9357,192.168.96.179,Suspicious IP
3972,192.168.57.73,Suspicious IP
7857,192.168.223.17,Large transaction
9589,192.168.167.147,Suspicious IP
6681,192.168.250.104,Failed logins
4797,192.168.57.104,High-frequency access
8597,192.168.254.212,High-frequency access
3316,192.168.165.136,Failed logins
2424,192.168.0.218,Large transaction
2818,192.168.9.230,Large transaction
6313,192.168.185.71,Large transaction
4950,192.168.135.0,Failed logins
1504,192.168.87.10,Failed logins
1845,192.168.61.105,High-frequency access
7597,192.168.222.240,High-frequency access
1516,192.168.184.44,Failed logins
8,192.168.207.149,Failed logins
7399,192.168.113.48,Suspicious IP
8080,192.168.13.47,Failed logins
6937,192.168.168.92,High-frequency access
2968,192.168.4.137,High-frequency access
2108,192.168.237.229,Large transaction
2137,192.168.10.83,Large transaction
180,192.168.104.225,Suspicious IP
4092,192.168.150.133,Large transaction
6872,192.168.9.132,Failed logins
7287,192.168.24.45,High-frequency access
2427,192.168.22.71,Failed logins
2804,192.168.222.19,Suspicious IP
1781,192.168.207.208,Suspicious IP
8393,192.168.165.141,Suspicious IP
5831,192.168.221.129,Large transaction
1314,192.168.130.70,Large transaction
2430,192.168.120.209,Suspicious IP
2291,192.168.36.107,Suspicious IP
4031,192.168.204.199,Suspicious IP
1381,192.168.22.5,High-frequency access
3602,192.168.86.237,Failed logins
2130,192.168.10.61,High-frequency access
2487,192.168.108.227,High-frequency access
8535,192.168.17.192,High-frequency access
5131,192.168.184.4,Suspicious IP
5015,192.168.186.73,High-frequency access
5992,192.168.150.33,Suspicious IP
9134,192.168.94.218,Large transaction
145,192.168.95.28,Failed logins
1389,192.168.235.161,Large transaction
8238,192.168.112.164,Suspicious IP
6825,192.168.132.248,Large transaction
4138,192.168.183.14,High-frequency access
2187,192.168.156.76,High-frequency access
5280,192.168.210.190,Failed logins
7046,192.168.24.142,Failed logins
4454,192.168.210.154,Failed logins
5124,192.168.141.168,Suspicious IP
6586,192.168.207.6,High-frequency access
1342,192.168.114.180,Failed logins
6531,192.168.23.166,Suspicious IP
198,192.168.149.94,Suspicious IP
9179,192.168.238.234,Large transaction
6254,192.168.63.221,Suspicious IP
3284,192.168.147.129,Large transaction
4154,192.168.54.154,Large transaction
5581,192.168.191.142,Failed logins
2108,192.168.14.177,Failed logins
4584,192.168.204.187,Suspicious IP
4599,192.168.206.53,Failed logins
1535,192.168.52.46,Suspicious IP
1316,192.168.150.29,Large transaction
1877,192.168.39.209,Suspicious IP
1774,192.168.245.196,Large transaction
8233,192.168.125.69,Suspicious IP
9732,192.168.242.52,High-frequency access
8845,192.168.99.27,Suspicious IP
9354,192.168.237.173,High-frequency access
848,192.168.11.1,Large transaction
2415,192.168.40.68,Suspicious IP
5881,192.168.228.170,Suspicious IP
4212,192.168.115.161,High-frequency access
3394,192.168.223.79,High-frequency access
9131,192.168.214.170,Large transaction
3846,192.168.98.94,Large transaction
9076,192.168.219.221,High-frequency access
2754,192.168.255.53,Large transaction
360,192.168.218.71,Suspicious IP
4429,192.168.47.27,Suspicious IP
6848,192.168.149.96,High-frequency access
8779,192.168.226.52,Large transaction
5427,192.168.231.233,Suspicious IP
7830,192.168.193.2,Large transaction
8441,192.168.140.215,Large transaction
4026,192.168.214.42,Large transaction
4529,192.168.116.213,Large transaction
1894,192.168.42.222,Suspicious IP
9574,192.168.92.234,Failed logins
4063,192.168.224.182,High-frequency access
7775,192.168.78.28,High-frequency access
8393,192.168.219.90,Large transaction
1926,192.168.25.0,Suspicious IP
7705,192.168.203.197,Failed logins
2788,192.168.115.5,Large transaction
3072,192.168.179.85,Large transaction
3265,192.168.140.22,High-frequency access
434,192.168.237.193,Suspicious IP
557,192.168.185.15,Large transaction
1589,192.168.215.66,Large transaction
1857,192.168.246.151,Suspicious IP
6343,192.168.70.195,Suspicious IP
8898,192.168.107.67,Suspicious IP
6213,192.168.167.213,Failed logins
6227,192.168.91.21,Failed logins
4633,192.168.121.208,Failed logins
3848,192.168.42.6,Suspicious IP
4641,192.168.123.36,Suspicious IP
4786,192.168.13.188,Suspicious IP
9394,192.168.34.201,Failed logins
6543,192.168.246.61,Large transaction
3860,192.168.195.167,Suspicious IP
1511,192.168.101.50,Large transaction
8173,192.168.133.246,Suspicious IP
8904,192.168.141.56,Large transaction
7536,192.168.39.119,Large transaction
1374,192.168.87.230,High-frequency access
67,192.168.242.243,Suspicious IP
1998,192.168.157.185,Large transaction
9055,192.168.179.91,Suspicious IP
6088,192.168.101.158,Large transaction
7128,192.168.249.167,High-frequency access
9728,192.168.32.149,Large transaction
7693,192.168.65.90,Suspicious IP
1801,192.168.166.80,High-frequency access
1298,192.168.194.197,Large transaction
5472,192.168.202.106,Suspicious IP
5832,192.168.255.58,High-frequency access
8526,192.168.217.254,Suspicious IP
5759,192.168.81.67,Failed logins
7182,192.168.90.112,Failed logins
945,192.168.10.197,Suspicious IP
2105,192.168.3.180,High-frequency access
4018,192.168.189.91,Suspicious IP
4400,192.168.25.225,Failed logins
2489,192.168.213.84,Failed logins
4943,192.168.172.166,Large transaction
222,192.168.66.124,Failed logins
1805,192.168.191.130,High-frequency access
3262,192.168.241.221,High-frequency access
1774,192.168.87.7,Suspicious IP
