date,weather_location,temperature,weather_condition
2025-01-16,Toulouse,0.1,Storm
2025-01-24,Marseille,9.9,Fog
2025-01-28,Lyon,2.2,Rain
2025-01-15,Bordeaux,33.9,Fog
2025-01-16,Marseille,29.8,Rain
2025-01-08,Toulouse,32.6,Snow
2025-01-03,Marseille,3.5,Snow
2025-02-01,Marseille,1.0,Clear
2025-01-14,Marseille,18.3,Storm
2025-01-14,Paris,6.1,Clear
2025-01-10,Marseille,1.5,Rain
2025-01-06,Marseille,33.6,Fog
2025-01-24,Lyon,-2.8,Rain
2025-01-21,Toulouse,19.1,Storm
2025-01-21,Toulouse,18.9,Fog
2025-01-08,Paris,29.2,Fog
2025-02-01,Paris,5.4,Clear
2025-01-20,Lyon,19.5,Fog
2025-01-07,Lyon,9.3,Fog
2025-01-22,Toulouse,2.7,Storm
2025-01-15,Marseille,29.6,Snow
2025-01-06,Marseille,16.4,Rain
2025-01-24,Lyon,14.8,Fog
2025-01-20,Toulouse,-1.4,Storm
2025-01-18,Toulouse,-2.3,Clear
2025-01-09,Paris,17.4,Fog
2025-01-21,Marseille,21.0,Rain
2025-01-12,Toulouse,11.8,Storm
2025-01-03,Marseille,20.2,Fog
2025-01-31,Bordeaux,13.8,Storm
2025-01-12,Marseille,22.0,Snow
2025-01-22,Toulouse,1.3,Rain
2025-01-05,Toulouse,20.0,Clear
2025-01-16,Marseille,2.8,Fog
2025-01-03,Toulouse,6.8,Rain
2025-01-16,Lyon,4.1,Rain
2025-01-17,Marseille,5.1,Rain
2025-01-26,Bordeaux,21.3,Rain
2025-01-17,Toulouse,18.0,Rain
2025-01-06,Lyon,15.9,Rain
2025-01-11,Bordeaux,0.7,Fog
2025-01-16,Lyon,13.7,Fog
2025-01-25,Toulouse,-2.7,Fog
2025-01-23,Bordeaux,15.1,Clear
2025-01-11,Paris,29.2,Snow
2025-02-02,Paris,19.2,Fog
2025-01-26,Toulouse,32.2,Rain
2025-01-08,Lyon,-1.4,Rain
2025-01-25,Bordeaux,30.2,Snow
2025-01-31,Toulouse,34.7,Snow
2025-01-20,Lyon,26.2,Fog
2025-01-18,Lyon,10.2,Storm
2025-01-31,Bordeaux,10.3,Fog
2025-01-15,Toulouse,-4.9,Snow
2025-01-13,Lyon,29.5,Rain
2025-01-17,Bordeaux,4.0,Rain
2025-01-05,Toulouse,1.4,Snow
2025-01-05,Bordeaux,20.1,Rain
2025-01-26,Marseille,31.2,Fog
2025-01-21,Marseille,8.1,Clear
2025-01-20,Marseille,11.6,Snow
2025-01-06,Paris,19.0,Fog
2025-01-28,Marseille,21.8,Clear
2025-01-14,Paris,-4.8,Rain
2025-01-03,Marseille,3.2,Fog
2025-02-01,Paris,30.2,Storm
2025-01-11,Marseille,27.6,Snow
2025-01-18,Lyon,19.0,Storm
2025-01-17,Lyon,2.5,Fog
2025-01-24,Paris,25.6,Snow
2025-01-28,Bordeaux,8.3,Rain
2025-01-29,Lyon,16.0,Fog
2025-01-07,Lyon,27.5,Fog
2025-01-17,Toulouse,-3.9,Snow
2025-01-26,Lyon,34.5,Rain
2025-01-20,Lyon,0.1,Snow
2025-01-20,Toulouse,2.5,Rain
2025-01-29,Toulouse,-4.3,Fog
2025-01-21,Lyon,12.2,Storm
2025-01-30,Toulouse,3.6,Rain
2025-01-06,Lyon,11.7,Fog
2025-01-25,Paris,19.0,Fog
2025-01-03,Bordeaux,1.8,Fog
2025-01-30,Lyon,25.0,Snow
2025-01-11,Paris,5.3,Fog
2025-01-23,Lyon,2.9,Storm
2025-01-28,Lyon,21.0,Snow
2025-01-16,Marseille,7.8,Snow
2025-01-07,Toulouse,25.6,Snow
2025-01-05,Lyon,19.5,Clear
2025-01-03,Bordeaux,6.9,Rain
2025-01-21,Marseille,28.4,Fog
2025-01-17,Bordeaux,34.0,Rain
2025-01-08,Paris,7.9,Snow
2025-01-03,Marseille,19.2,Rain
2025-01-18,Toulouse,6.9,Snow
2025-01-17,Toulouse,13.9,Storm
2025-01-24,Bordeaux,25.0,Snow
2025-01-24,Bordeaux,16.1,Snow
2025-01-27,Lyon,30.4,Snow
2025-01-18,Toulouse,-2.8,Fog
2025-01-08,Bordeaux,11.5,Snow
2025-01-03,Lyon,9.6,Storm
2025-01-23,Toulouse,23.5,Rain
2025-01-26,Marseille,2.4,Rain
2025-02-01,Toulouse,32.3,Fog
2025-01-26,Paris,15.5,Rain
2025-01-04,Bordeaux,-0.1,Snow
2025-01-29,Toulouse,26.3,Snow
2025-01-15,Toulouse,19.4,Fog
2025-01-31,Bordeaux,14.4,Clear
2025-01-10,Marseille,29.0,Fog
2025-01-30,Lyon,30.4,Snow
2025-01-18,Marseille,12.7,Snow
2025-01-07,Lyon,20.6,Fog
2025-01-19,Toulouse,13.0,Fog
2025-01-12,Toulouse,-1.2,Fog
2025-02-02,Lyon,2.6,Rain
2025-01-12,Paris,2.0,Fog
2025-01-07,Marseille,14.7,Storm
2025-01-29,Paris,14.5,Clear
2025-01-15,Paris,3.5,Storm
2025-01-06,Marseille,19.9,Rain
2025-01-12,Bordeaux,21.5,Storm
2025-01-10,Bordeaux,3.5,Rain
2025-02-01,Paris,19.9,Fog
2025-01-21,Paris,1.6,Storm
2025-02-01,Paris,35.0,Rain
2025-01-09,Toulouse,15.5,Fog
2025-01-13,Toulouse,19.6,Storm
2025-01-28,Marseille,7.8,Rain
2025-01-12,Marseille,30.1,Clear
2025-01-31,Marseille,9.0,Clear
2025-01-30,Marseille,22.1,Storm
2025-01-20,Toulouse,5.5,Snow
2025-01-22,Lyon,-1.4,Storm
2025-01-13,Bordeaux,14.7,Fog
2025-01-17,Lyon,5.8,Rain
2025-01-27,Bordeaux,2.9,Rain
2025-01-11,Bordeaux,21.2,Snow
2025-01-13,Toulouse,34.6,Snow
2025-01-04,Toulouse,5.3,Snow
2025-01-09,Marseille,-3.0,Snow
2025-01-24,Toulouse,11.3,Clear
2025-01-14,Marseille,0.8,Clear
2025-01-17,Marseille,18.6,Rain
2025-01-07,Toulouse,-2.4,Clear
2025-01-22,Marseille,21.7,Snow
2025-01-13,Bordeaux,26.2,Clear
2025-01-13,Paris,14.1,Storm
2025-01-30,Lyon,13.6,Rain
2025-01-11,Lyon,12.3,Clear
2025-01-09,Toulouse,11.3,Storm
2025-01-16,Paris,16.6,Clear
2025-01-10,Toulouse,31.5,Snow
2025-01-05,Paris,8.4,Snow
2025-01-26,Paris,19.3,Clear
2025-01-30,Paris,0.6,Fog
2025-01-20,Toulouse,33.1,Fog
2025-01-30,Lyon,13.7,Fog
2025-01-07,Paris,8.2,Clear
2025-02-01,Bordeaux,-0.5,Rain
2025-02-01,Bordeaux,27.2,Storm
2025-01-16,Paris,28.4,Fog
2025-01-26,Paris,-3.8,Storm
2025-01-17,Marseille,27.2,Snow
2025-01-28,Marseille,3.0,Snow
2025-01-26,Bordeaux,8.1,Snow
2025-01-27,Paris,3.6,Fog
2025-01-22,Toulouse,28.3,Snow
2025-01-26,Paris,22.0,Clear
2025-01-26,Bordeaux,26.5,Rain
2025-01-14,Toulouse,13.1,Snow
2025-01-18,Marseille,20.8,Clear
2025-01-31,Lyon,34.1,Clear
2025-01-23,Lyon,25.9,Snow
2025-01-31,Paris,34.1,Storm
2025-01-05,Bordeaux,19.7,Clear
2025-01-08,Paris,26.8,Rain
2025-01-25,Lyon,29.4,Clear
2025-01-15,Marseille,19.6,Fog
2025-01-14,Marseille,1.1,Snow
2025-01-25,Marseille,13.9,Rain
2025-01-31,Bordeaux,9.2,Fog
2025-01-21,Bordeaux,3.5,Clear
2025-01-09,Marseille,14.2,Fog
2025-01-06,Bordeaux,-2.0,Snow
2025-01-24,Toulouse,31.4,Rain
2025-01-06,Bordeaux,13.4,Snow
2025-01-26,Toulouse,21.5,Rain
2025-01-21,Marseille,31.8,Snow
2025-01-04,Lyon,29.8,Rain
2025-01-31,Paris,26.1,Fog
2025-01-21,Bordeaux,8.9,Snow
2025-01-22,Toulouse,15.8,Fog
2025-01-26,Paris,28.0,Snow
2025-02-01,Toulouse,22.1,Clear
2025-01-12,Bordeaux,11.3,Fog
2025-01-25,Toulouse,4.3,Fog
2025-01-03,Bordeaux,18.9,Clear
2025-01-11,Bordeaux,28.8,Snow
2025-01-11,Bordeaux,23.7,Clear
2025-01-12,Paris,24.1,Storm
2025-01-23,Marseille,25.3,Clear
2025-01-12,Lyon,31.5,Clear
2025-01-27,Lyon,-4.9,Storm
2025-01-07,Paris,21.0,Storm
2025-01-06,Lyon,27.8,Snow
2025-01-22,Bordeaux,15.2,Fog
2025-01-20,Marseille,-2.1,Fog
2025-01-18,Bordeaux,27.5,Storm
2025-01-10,Lyon,-2.8,Snow
2025-01-27,Toulouse,16.6,Clear
2025-01-14,Marseille,28.5,Rain
2025-01-08,Toulouse,5.7,Fog
2025-01-27,Marseille,30.9,Clear
2025-01-03,Toulouse,23.4,Storm
2025-01-24,Marseille,17.1,Storm
2025-01-24,Lyon,19.2,Snow
2025-01-12,Paris,25.8,Storm
2025-01-08,Toulouse,23.8,Fog
2025-01-10,Toulouse,25.5,Rain
2025-01-10,Lyon,20.9,Rain
2025-01-11,Lyon,25.5,Snow
2025-01-22,Lyon,-2.4,Rain
2025-01-23,Bordeaux,1.1,Snow
2025-01-15,Lyon,1.1,Fog
2025-01-25,Marseille,-1.0,Rain
2025-01-04,Marseille,32.2,Clear
2025-01-09,Bordeaux,18.3,Clear
2025-01-06,Lyon,22.9,Clear
2025-01-28,Bordeaux,-1.2,Fog
2025-01-23,Paris,22.0,Storm
2025-01-19,Paris,29.8,Clear
2025-01-29,Toulouse,16.6,Snow
2025-01-22,Lyon,33.4,Storm
2025-01-07,Paris,3.6,Clear
2025-01-17,Bordeaux,3.9,Snow
2025-01-24,Lyon,18.5,Fog
2025-01-19,Paris,4.7,Rain
2025-01-16,Lyon,19.9,Rain
2025-01-20,Toulouse,-4.5,Snow
2025-01-10,Lyon,-2.9,Snow
2025-01-10,Marseille,13.7,Clear
2025-01-05,Paris,22.3,Fog
2025-01-21,Lyon,32.1,Clear
2025-01-20,Marseille,27.4,Rain
2025-01-19,Paris,29.7,Snow
2025-01-10,Paris,0.3,Snow
2025-01-17,Marseille,10.8,Rain
2025-01-24,Toulouse,-1.6,Snow
2025-01-17,Marseille,16.2,Clear
2025-01-13,Lyon,11.0,Fog
2025-01-09,Paris,31.1,Snow
2025-01-16,Marseille,24.8,Storm
2025-01-21,Lyon,32.9,Rain
2025-01-21,Bordeaux,3.4,Storm
2025-01-29,Paris,14.6,Rain
2025-02-01,Toulouse,1.8,Fog
2025-01-26,Toulouse,27.0,Clear
2025-01-13,Paris,9.6,Snow
2025-01-28,Lyon,23.7,Clear
2025-01-04,Bordeaux,27.7,Clear
2025-01-09,Marseille,22.1,Clear
2025-01-21,Paris,20.7,Fog
2025-01-10,Bordeaux,4.2,Fog
2025-01-21,Marseille,29.0,Rain
2025-01-31,Toulouse,30.7,Fog
2025-01-07,Marseille,18.1,Rain
2025-01-20,Marseille,1.8,Rain
2025-01-27,Bordeaux,19.9,Storm
2025-01-08,Bordeaux,17.0,Rain
2025-01-24,Bordeaux,11.3,Snow
2025-01-13,Marseille,8.4,Clear
2025-01-21,Toulouse,15.9,Clear
2025-01-30,Bordeaux,34.8,Storm
2025-01-10,Lyon,22.4,Snow
2025-01-07,Lyon,4.2,Rain
2025-01-24,Bordeaux,18.4,Rain
2025-01-16,Toulouse,32.4,Fog
2025-01-20,Bordeaux,12.1,Snow
2025-01-05,Bordeaux,32.1,Clear
2025-01-15,Paris,8.8,Rain
2025-01-12,Lyon,21.7,Clear
2025-01-26,Paris,-2.9,Clear
2025-01-09,Marseille,14.0,Snow
2025-01-26,Lyon,34.3,Fog
2025-01-08,Paris,29.1,Rain
2025-02-02,Paris,34.1,Rain
2025-02-01,Paris,12.8,Fog
2025-01-10,Toulouse,24.8,Clear
2025-01-17,Paris,35.0,Snow
2025-01-06,Lyon,-0.7,Storm
2025-01-27,Lyon,12.8,Snow
2025-01-30,Toulouse,29.4,Snow
2025-01-11,Bordeaux,14.4,Rain
2025-01-11,Bordeaux,9.9,Rain
2025-01-25,Lyon,5.8,Clear
2025-01-03,Bordeaux,29.9,Clear
2025-02-01,Paris,20.0,Storm
2025-02-01,Bordeaux,27.1,Fog
2025-01-11,Paris,23.8,Fog
2025-01-05,Toulouse,28.7,Snow
2025-01-29,Bordeaux,0.1,Fog
2025-01-16,Marseille,16.7,Storm
2025-01-24,Lyon,22.6,Fog
2025-01-17,Lyon,33.1,Clear
2025-01-10,Marseille,15.4,Storm
2025-01-29,Bordeaux,9.3,Storm
2025-01-18,Toulouse,6.7,Snow
2025-01-24,Marseille,21.8,Snow
2025-01-10,Marseille,32.1,Storm
2025-01-31,Marseille,8.3,Fog
2025-01-25,Bordeaux,10.0,Snow
2025-01-05,Toulouse,22.9,Snow
2025-01-18,Toulouse,-1.3,Fog
2025-01-17,Paris,18.6,Clear
2025-01-03,Paris,33.6,Rain
2025-01-28,Lyon,2.1,Snow
2025-01-29,Paris,2.0,Clear
2025-01-15,Marseille,-1.7,Rain
2025-01-13,Marseille,14.1,Snow
2025-01-04,Marseille,9.2,Storm
2025-02-02,Bordeaux,-5.0,Clear
2025-01-25,Marseille,15.0,Fog
2025-01-07,Bordeaux,27.5,Snow
2025-01-17,Marseille,4.8,Clear
2025-01-16,Bordeaux,1.3,Fog
2025-01-14,Toulouse,34.1,Storm
2025-01-07,Marseille,6.2,Storm
2025-01-22,Lyon,29.9,Fog
2025-01-21,Lyon,20.4,Rain
2025-01-07,Toulouse,17.1,Storm
2025-01-29,Marseille,-4.3,Rain
2025-01-08,Toulouse,25.7,Storm
2025-01-29,Toulouse,24.9,Snow
2025-01-19,Lyon,5.4,Snow
2025-02-02,Toulouse,25.8,Rain
2025-02-01,Lyon,21.2,Clear
2025-01-20,Toulouse,5.3,Clear
2025-01-31,Toulouse,24.2,Snow
2025-01-27,Marseille,8.9,Rain
2025-01-17,Bordeaux,14.5,Fog
2025-01-28,Paris,22.2,Fog
2025-01-31,Paris,2.8,Rain
2025-01-03,Bordeaux,8.1,Storm
2025-01-30,Lyon,16.1,Fog
2025-01-08,Marseille,24.7,Snow
2025-01-17,Lyon,-1.6,Rain
2025-01-18,Bordeaux,22.5,Storm
2025-01-11,Toulouse,19.7,Fog
2025-01-07,Bordeaux,10.0,Fog
2025-01-20,Lyon,9.5,Storm
2025-01-07,Paris,6.3,Fog
2025-01-03,Paris,7.0,Rain
2025-01-26,Toulouse,9.1,Storm
2025-01-23,Bordeaux,24.6,Fog
2025-02-02,Marseille,20.1,Snow
2025-01-11,Marseille,11.5,Clear
2025-01-09,Paris,-1.8,Rain
2025-01-11,Bordeaux,29.7,Fog
2025-01-05,Toulouse,3.0,Storm
2025-01-05,Marseille,30.8,Storm
2025-01-13,Paris,23.0,Snow
2025-01-21,Toulouse,0.0,Rain
2025-01-27,Lyon,3.9,Clear
2025-01-31,Toulouse,-3.8,Clear
2025-01-06,Toulouse,29.3,Rain
2025-01-19,Marseille,-5.0,Snow
2025-01-16,Toulouse,-0.0,Fog
2025-02-01,Paris,27.3,Fog
2025-01-07,Toulouse,11.5,Snow
2025-01-25,Toulouse,5.5,Rain
2025-01-08,Bordeaux,3.6,Clear
2025-01-09,Toulouse,30.6,Rain
2025-01-11,Paris,19.9,Snow
2025-01-29,Marseille,29.0,Rain
2025-01-05,Paris,11.5,Fog
2025-01-25,Bordeaux,22.0,Rain
2025-01-09,Paris,34.4,Snow
2025-01-17,Paris,23.9,Storm
2025-01-30,Lyon,26.3,Clear
2025-01-13,Bordeaux,-4.7,Snow
2025-01-23,Paris,-4.1,Rain
2025-01-20,Lyon,29.0,Fog
2025-01-19,Lyon,31.7,Snow
2025-01-11,Marseille,-1.6,Snow
2025-01-20,Paris,5.6,Fog
2025-01-17,Lyon,26.6,Fog
2025-01-31,Toulouse,3.9,Rain
2025-01-29,Paris,32.9,Rain
2025-01-16,Marseille,33.8,Clear
2025-01-30,Paris,-1.3,Fog
2025-01-26,Lyon,19.6,Fog
2025-01-27,Lyon,2.1,Rain
2025-01-30,Toulouse,24.0,Rain
2025-01-24,Toulouse,20.2,Snow
2025-01-03,Lyon,3.0,Fog
2025-01-15,Lyon,20.7,Fog
2025-01-18,Bordeaux,27.6,Rain
2025-01-31,Marseille,14.5,Snow
2025-01-15,Paris,27.9,Storm
2025-01-28,Toulouse,5.3,Rain
2025-01-24,Toulouse,11.4,Fog
2025-01-03,Marseille,26.6,Clear
2025-01-19,Bordeaux,23.5,Fog
2025-01-16,Lyon,34.5,Snow
2025-01-25,Paris,5.0,Snow
2025-01-27,Paris,17.8,Rain
2025-01-03,Toulouse,26.3,Clear
2025-02-02,Paris,2.7,Fog
2025-01-19,Bordeaux,11.5,Fog
2025-01-14,Paris,34.2,Rain
2025-01-19,Toulouse,22.0,Clear
2025-01-21,Toulouse,15.5,Rain
2025-02-01,Toulouse,19.1,Storm
2025-01-09,Bordeaux,2.7,Clear
2025-01-10,Bordeaux,-2.2,Clear
2025-02-01,Toulouse,5.7,Fog
2025-01-09,Bordeaux,2.9,Rain
2025-01-31,Toulouse,6.4,Snow
2025-01-19,Bordeaux,-1.8,Clear
2025-01-26,Toulouse,21.3,Storm
2025-01-21,Bordeaux,-0.1,Rain
2025-01-16,Bordeaux,8.5,Fog
2025-01-19,Toulouse,-0.7,Fog
2025-01-25,Bordeaux,15.1,Snow
2025-01-07,Lyon,31.2,Clear
2025-01-18,Paris,23.8,Storm
2025-01-28,Marseille,33.0,Storm
2025-01-18,Lyon,34.0,Clear
2025-02-01,Paris,29.0,Fog
2025-01-31,Toulouse,14.9,Clear
2025-01-31,Lyon,29.2,Snow
2025-01-16,Toulouse,23.5,Fog
2025-01-30,Lyon,26.4,Snow
2025-01-19,Marseille,19.7,Snow
2025-01-19,Bordeaux,1.0,Fog
2025-01-05,Toulouse,23.7,Storm
2025-01-27,Marseille,26.3,Snow
2025-01-14,Bordeaux,-3.8,Clear
2025-01-31,Lyon,3.6,Clear
2025-01-08,Toulouse,23.1,Clear
2025-01-25,Toulouse,26.9,Snow
2025-01-05,Lyon,9.5,Snow
2025-01-04,Bordeaux,18.2,Storm
2025-01-16,Marseille,10.5,Storm
2025-01-14,Lyon,-2.8,Snow
2025-01-09,Toulouse,11.7,Fog
2025-01-31,Toulouse,5.1,Clear
2025-01-15,Paris,0.7,Snow
2025-01-11,Bordeaux,3.0,Snow
2025-01-19,Bordeaux,9.7,Rain
2025-01-17,Lyon,16.3,Snow
2025-01-12,Paris,28.3,Rain
2025-01-28,Toulouse,1.7,Storm
2025-01-23,Bordeaux,2.3,Storm
2025-01-27,Toulouse,26.8,Rain
2025-01-31,Toulouse,0.6,Fog
2025-01-06,Paris,29.6,Rain
2025-01-21,Lyon,7.3,Fog
2025-01-22,Lyon,18.7,Snow
2025-01-31,Lyon,-1.0,Fog
2025-01-16,Lyon,8.3,Rain
2025-01-28,Bordeaux,15.9,Clear
2025-01-12,Marseille,19.7,Storm
2025-01-31,Bordeaux,14.9,Fog
2025-01-04,Toulouse,31.0,Storm
2025-01-15,Marseille,8.0,Storm
2025-01-07,Bordeaux,6.4,Fog
2025-02-01,Bordeaux,1.0,Fog
2025-01-30,Marseille,-4.7,Storm
2025-01-05,Toulouse,33.2,Snow
2025-01-22,Toulouse,4.8,Storm
2025-01-22,Bordeaux,-1.7,Rain
2025-01-11,Toulouse,3.5,Clear
2025-01-12,Paris,30.0,Snow
2025-01-12,Paris,14.8,Clear
2025-01-21,Marseille,28.8,Clear
2025-01-13,Lyon,20.0,Storm
2025-01-07,Bordeaux,18.3,Rain
2025-01-12,Lyon,24.0,Storm
2025-01-08,Paris,31.0,Storm
2025-01-18,Marseille,0.0,Storm
2025-01-14,Lyon,9.0,Rain
